,index,PNW
0,365,57790.15842439988
1,366,76165.70370129694
2,367,79423.19397952012
3,368,78236.63851952495
4,369,81868.60484324337
5,370,73785.22224943925
6,371,83444.6368677376
7,372,83247.45051822634
8,373,78640.38988231003
9,374,86430.48205529005
10,375,87761.06911657646
11,376,89420.9297273263
12,377,89386.50430816348
13,378,90469.92772681464
14,379,94075.20378602369
15,380,94853.95150057317
16,381,93334.00159914044
17,382,93653.96656238101
18,383,96353.8277404983
19,384,98028.76782647372
20,385,98977.47685757952
21,386,125785.7977760507
22,387,131816.10485084832
23,388,137152.10539083273
24,389,136361.76423987103
25,390,132978.45084615113
26,391,138713.07702769755
27,392,137362.74528279743
28,393,131078.0104000928
29,394,132428.43560313704
30,395,139179.39680640455
31,396,134457.75768058305
32,397,137575.26622976654
33,398,135200.50934927625
34,399,129307.59250273765
35,400,121359.7195052658
36,401,136344.19423414557
37,402,138755.3653013103
38,403,131878.15433753375
39,404,127409.027105977
40,405,132101.8771908283
41,406,141452.89601560248
42,407,148964.4204633938
43,408,171238.0403712648
44,409,194495.8462049293
45,410,194859.49835768878
46,411,182249.73427176411
47,412,173440.36865597672
48,413,159566.37854936998
49,414,159904.19841844443
50,415,157733.89910989793
51,416,157196.68906866875
52,417,153287.79869852916
53,418,150006.20513641913
54,419,145062.14624312465
55,420,147297.04127809592
56,421,154417.87346740812
57,422,170830.02019980305
58,423,158750.28868374825
59,424,174150.48261729977
60,425,126682.84672021755
61,426,116100.92621208954
62,427,110979.83755916511
63,428,117379.02297915134
64,429,150797.60820934156
65,430,175286.91811306024
66,431,184512.21978079004
67,432,194784.95152911052
68,433,210200.41200720277
69,434,207346.35817497602
70,435,203255.95416701358
71,436,200423.31559821765
72,437,209673.66078768915
73,438,206277.93723083986
74,439,216228.55082674167
75,440,218278.987993609
76,441,222221.32817373046
77,442,209082.03996197108
78,443,211542.97495275858
79,444,207523.92192556057
80,445,213496.16276601749
81,446,201664.67956093745
82,447,206520.89074724365
83,448,195747.8653785143
84,449,186032.15429646894
85,450,185696.59851738485
86,451,187317.91963455244
87,452,197552.93874355592
88,453,193562.53441948476
89,454,184496.4733752954
90,455,148004.77783353522
91,456,114405.7188973318
92,457,121725.19630143672
93,458,116310.49717207291
94,459,120236.83325834072
95,460,117234.83832868919
96,461,131337.72116995655
97,462,152714.10444787293
98,463,151636.918627261
99,464,179795.40349401254
100,465,173845.679825438
101,466,171704.624064767
102,467,167404.79711579494
103,468,159900.57974265408
104,469,163030.74012577132
105,470,126214.90633950711
106,471,134050.05974950944
107,472,155799.37243618554
108,473,150948.22475655444
109,474,146969.35575188228
110,475,144668.74349251148
111,476,129452.90062612479
112,477,138830.26979641238
113,478,151197.90740172582
114,479,159077.83022242578
115,480,159370.17100730547
116,481,173524.30695175484
117,482,202570.9593956981
118,483,216845.3332962583
119,484,233721.02950661504
120,485,158941.6564303807
121,486,175780.17600160663
122,487,183234.97873759407
123,488,206161.82428012634
124,489,200357.06509105404
125,490,233922.6238700032
126,491,234359.38630376276
127,492,250036.86342725583
128,493,226694.17300313356
129,494,215447.4133306741
130,495,165479.7153443452
131,496,163860.89552971095
132,497,141461.92790701392
133,498,160199.4712835403
134,499,139944.1380429887
135,500,191706.76434818516
136,501,191758.21568394534
137,502,218072.58240796096
138,503,203413.86681456462
139,504,231871.18227659905
140,505,232281.2240698632
141,506,240187.1149275428
142,507,233278.76525074584
143,508,258385.08185664433
144,509,262862.2212325268
145,510,283296.4531971273
146,511,293488.31431408087
