,Source,Sink,Time,Value
0,SCE,SCE,1,0.0
1,SCE,SCE,2,0.0
2,SCE,SCE,3,0.0
3,SCE,SCE,4,0.0
4,SCE,SCE,5,0.0
5,SCE,SCE,6,0.0
6,SCE,SCE,7,0.0
7,SCE,SCE,8,0.0
8,SCE,SCE,9,0.0
9,SCE,SCE,10,0.0
10,SCE,SCE,11,0.0
11,SCE,SCE,12,0.0
12,SCE,SCE,13,0.0
13,SCE,SCE,14,0.0
14,SCE,SCE,15,0.0
15,SCE,SCE,16,0.0
16,SCE,SCE,17,0.0
17,SCE,SCE,18,0.0
18,SCE,SCE,19,0.0
19,SCE,SCE,20,0.0
20,SCE,SCE,21,0.0
21,SCE,SCE,22,0.0
22,SCE,SCE,23,0.0
23,SCE,SCE,24,0.0
24,SCE,SDGE,1,0.0
25,SCE,SDGE,2,0.0
26,SCE,SDGE,3,0.0
27,SCE,SDGE,4,0.0
28,SCE,SDGE,5,0.0
29,SCE,SDGE,6,0.0
30,SCE,SDGE,7,0.0
31,SCE,SDGE,8,0.0
32,SCE,SDGE,9,0.0
33,SCE,SDGE,10,131.3369087868346
34,SCE,SDGE,11,104.0524983148446
35,SCE,SDGE,12,117.90985233089106
36,SCE,SDGE,13,93.61466226998257
37,SCE,SDGE,14,102.49702484117941
38,SCE,SDGE,15,44.1587569366834
39,SCE,SDGE,16,0.0
40,SCE,SDGE,17,0.0
41,SCE,SDGE,18,0.0
42,SCE,SDGE,19,173.64941713937688
43,SCE,SDGE,20,321.31671914657176
44,SCE,SDGE,21,310.74926188968624
45,SCE,SDGE,22,248.59042451193488
46,SCE,SDGE,23,85.29604843878636
47,SCE,SDGE,24,0.0
48,SCE,PGE_bay,1,0.0
49,SCE,PGE_bay,2,0.0
50,SCE,PGE_bay,3,0.0
51,SCE,PGE_bay,4,0.0
52,SCE,PGE_bay,5,0.0
53,SCE,PGE_bay,6,0.0
54,SCE,PGE_bay,7,0.0
55,SCE,PGE_bay,8,0.0
56,SCE,PGE_bay,9,0.0
57,SCE,PGE_bay,10,0.0
58,SCE,PGE_bay,11,0.0
59,SCE,PGE_bay,12,0.0
60,SCE,PGE_bay,13,0.0
61,SCE,PGE_bay,14,0.0
62,SCE,PGE_bay,15,0.0
63,SCE,PGE_bay,16,0.0
64,SCE,PGE_bay,17,0.0
65,SCE,PGE_bay,18,0.0
66,SCE,PGE_bay,19,0.0
67,SCE,PGE_bay,20,0.0
68,SCE,PGE_bay,21,0.0
69,SCE,PGE_bay,22,0.0
70,SCE,PGE_bay,23,0.0
71,SCE,PGE_bay,24,0.0
72,SCE,PGE_valley,1,0.0
73,SCE,PGE_valley,2,0.0
74,SCE,PGE_valley,3,0.0
75,SCE,PGE_valley,4,0.0
76,SCE,PGE_valley,5,0.0
77,SCE,PGE_valley,6,0.0
78,SCE,PGE_valley,7,0.0
79,SCE,PGE_valley,8,0.0
80,SCE,PGE_valley,9,0.0
81,SCE,PGE_valley,10,0.0
82,SCE,PGE_valley,11,0.0
83,SCE,PGE_valley,12,0.0
84,SCE,PGE_valley,13,0.0
85,SCE,PGE_valley,14,0.0
86,SCE,PGE_valley,15,0.0
87,SCE,PGE_valley,16,0.0
88,SCE,PGE_valley,17,0.0
89,SCE,PGE_valley,18,0.0
90,SCE,PGE_valley,19,0.0
91,SCE,PGE_valley,20,0.0
92,SCE,PGE_valley,21,0.0
93,SCE,PGE_valley,22,0.0
94,SCE,PGE_valley,23,0.0
95,SCE,PGE_valley,24,0.0
96,SCE,PNW,1,0.0
97,SCE,PNW,2,0.0
98,SCE,PNW,3,0.0
99,SCE,PNW,4,0.0
100,SCE,PNW,5,0.0
101,SCE,PNW,6,0.0
102,SCE,PNW,7,0.0
103,SCE,PNW,8,0.0
104,SCE,PNW,9,0.0
105,SCE,PNW,10,0.0
106,SCE,PNW,11,0.0
107,SCE,PNW,12,0.0
108,SCE,PNW,13,0.0
109,SCE,PNW,14,0.0
110,SCE,PNW,15,0.0
111,SCE,PNW,16,0.0
112,SCE,PNW,17,0.0
113,SCE,PNW,18,0.0
114,SCE,PNW,19,0.0
115,SCE,PNW,20,0.0
116,SCE,PNW,21,0.0
117,SCE,PNW,22,0.0
118,SCE,PNW,23,0.0
119,SCE,PNW,24,0.0
120,SDGE,SCE,1,0.0
121,SDGE,SCE,2,0.0
122,SDGE,SCE,3,0.0
123,SDGE,SCE,4,0.0
124,SDGE,SCE,5,0.0
125,SDGE,SCE,6,0.0
126,SDGE,SCE,7,0.0
127,SDGE,SCE,8,0.0
128,SDGE,SCE,9,0.0
129,SDGE,SCE,10,0.0
130,SDGE,SCE,11,0.0
131,SDGE,SCE,12,0.0
132,SDGE,SCE,13,0.0
133,SDGE,SCE,14,0.0
134,SDGE,SCE,15,0.0
135,SDGE,SCE,16,0.0
136,SDGE,SCE,17,0.0
137,SDGE,SCE,18,0.0
138,SDGE,SCE,19,0.0
139,SDGE,SCE,20,0.0
140,SDGE,SCE,21,0.0
141,SDGE,SCE,22,0.0
142,SDGE,SCE,23,0.0
143,SDGE,SCE,24,0.0
144,SDGE,SDGE,1,0.0
145,SDGE,SDGE,2,0.0
146,SDGE,SDGE,3,0.0
147,SDGE,SDGE,4,0.0
148,SDGE,SDGE,5,0.0
149,SDGE,SDGE,6,0.0
150,SDGE,SDGE,7,0.0
151,SDGE,SDGE,8,0.0
152,SDGE,SDGE,9,0.0
153,SDGE,SDGE,10,0.0
154,SDGE,SDGE,11,0.0
155,SDGE,SDGE,12,0.0
156,SDGE,SDGE,13,0.0
157,SDGE,SDGE,14,0.0
158,SDGE,SDGE,15,0.0
159,SDGE,SDGE,16,0.0
160,SDGE,SDGE,17,0.0
161,SDGE,SDGE,18,0.0
162,SDGE,SDGE,19,0.0
163,SDGE,SDGE,20,0.0
164,SDGE,SDGE,21,0.0
165,SDGE,SDGE,22,0.0
166,SDGE,SDGE,23,0.0
167,SDGE,SDGE,24,0.0
168,SDGE,PGE_bay,1,0.0
169,SDGE,PGE_bay,2,0.0
170,SDGE,PGE_bay,3,0.0
171,SDGE,PGE_bay,4,0.0
172,SDGE,PGE_bay,5,0.0
173,SDGE,PGE_bay,6,0.0
174,SDGE,PGE_bay,7,0.0
175,SDGE,PGE_bay,8,0.0
176,SDGE,PGE_bay,9,0.0
177,SDGE,PGE_bay,10,0.0
178,SDGE,PGE_bay,11,0.0
179,SDGE,PGE_bay,12,0.0
180,SDGE,PGE_bay,13,0.0
181,SDGE,PGE_bay,14,0.0
182,SDGE,PGE_bay,15,0.0
183,SDGE,PGE_bay,16,0.0
184,SDGE,PGE_bay,17,0.0
185,SDGE,PGE_bay,18,0.0
186,SDGE,PGE_bay,19,0.0
187,SDGE,PGE_bay,20,0.0
188,SDGE,PGE_bay,21,0.0
189,SDGE,PGE_bay,22,0.0
190,SDGE,PGE_bay,23,0.0
191,SDGE,PGE_bay,24,0.0
192,SDGE,PGE_valley,1,0.0
193,SDGE,PGE_valley,2,0.0
194,SDGE,PGE_valley,3,0.0
195,SDGE,PGE_valley,4,0.0
196,SDGE,PGE_valley,5,0.0
197,SDGE,PGE_valley,6,0.0
198,SDGE,PGE_valley,7,0.0
199,SDGE,PGE_valley,8,0.0
200,SDGE,PGE_valley,9,0.0
201,SDGE,PGE_valley,10,0.0
202,SDGE,PGE_valley,11,0.0
203,SDGE,PGE_valley,12,0.0
204,SDGE,PGE_valley,13,0.0
205,SDGE,PGE_valley,14,0.0
206,SDGE,PGE_valley,15,0.0
207,SDGE,PGE_valley,16,0.0
208,SDGE,PGE_valley,17,0.0
209,SDGE,PGE_valley,18,0.0
210,SDGE,PGE_valley,19,0.0
211,SDGE,PGE_valley,20,0.0
212,SDGE,PGE_valley,21,0.0
213,SDGE,PGE_valley,22,0.0
214,SDGE,PGE_valley,23,0.0
215,SDGE,PGE_valley,24,0.0
216,SDGE,PNW,1,0.0
217,SDGE,PNW,2,0.0
218,SDGE,PNW,3,0.0
219,SDGE,PNW,4,0.0
220,SDGE,PNW,5,0.0
221,SDGE,PNW,6,0.0
222,SDGE,PNW,7,0.0
223,SDGE,PNW,8,0.0
224,SDGE,PNW,9,0.0
225,SDGE,PNW,10,0.0
226,SDGE,PNW,11,0.0
227,SDGE,PNW,12,0.0
228,SDGE,PNW,13,0.0
229,SDGE,PNW,14,0.0
230,SDGE,PNW,15,0.0
231,SDGE,PNW,16,0.0
232,SDGE,PNW,17,0.0
233,SDGE,PNW,18,0.0
234,SDGE,PNW,19,0.0
235,SDGE,PNW,20,0.0
236,SDGE,PNW,21,0.0
237,SDGE,PNW,22,0.0
238,SDGE,PNW,23,0.0
239,SDGE,PNW,24,0.0
240,PGE_bay,SCE,1,0.0
241,PGE_bay,SCE,2,0.0
242,PGE_bay,SCE,3,0.0
243,PGE_bay,SCE,4,0.0
244,PGE_bay,SCE,5,0.0
245,PGE_bay,SCE,6,0.0
246,PGE_bay,SCE,7,0.0
247,PGE_bay,SCE,8,0.0
248,PGE_bay,SCE,9,0.0
249,PGE_bay,SCE,10,0.0
250,PGE_bay,SCE,11,0.0
251,PGE_bay,SCE,12,0.0
252,PGE_bay,SCE,13,0.0
253,PGE_bay,SCE,14,0.0
254,PGE_bay,SCE,15,0.0
255,PGE_bay,SCE,16,0.0
256,PGE_bay,SCE,17,0.0
257,PGE_bay,SCE,18,0.0
258,PGE_bay,SCE,19,0.0
259,PGE_bay,SCE,20,0.0
260,PGE_bay,SCE,21,0.0
261,PGE_bay,SCE,22,0.0
262,PGE_bay,SCE,23,0.0
263,PGE_bay,SCE,24,0.0
264,PGE_bay,SDGE,1,0.0
265,PGE_bay,SDGE,2,0.0
266,PGE_bay,SDGE,3,0.0
267,PGE_bay,SDGE,4,0.0
268,PGE_bay,SDGE,5,0.0
269,PGE_bay,SDGE,6,0.0
270,PGE_bay,SDGE,7,0.0
271,PGE_bay,SDGE,8,0.0
272,PGE_bay,SDGE,9,0.0
273,PGE_bay,SDGE,10,0.0
274,PGE_bay,SDGE,11,0.0
275,PGE_bay,SDGE,12,0.0
276,PGE_bay,SDGE,13,0.0
277,PGE_bay,SDGE,14,0.0
278,PGE_bay,SDGE,15,0.0
279,PGE_bay,SDGE,16,0.0
280,PGE_bay,SDGE,17,0.0
281,PGE_bay,SDGE,18,0.0
282,PGE_bay,SDGE,19,0.0
283,PGE_bay,SDGE,20,0.0
284,PGE_bay,SDGE,21,0.0
285,PGE_bay,SDGE,22,0.0
286,PGE_bay,SDGE,23,0.0
287,PGE_bay,SDGE,24,0.0
288,PGE_bay,PGE_bay,1,0.0
289,PGE_bay,PGE_bay,2,0.0
290,PGE_bay,PGE_bay,3,0.0
291,PGE_bay,PGE_bay,4,0.0
292,PGE_bay,PGE_bay,5,0.0
293,PGE_bay,PGE_bay,6,0.0
294,PGE_bay,PGE_bay,7,0.0
295,PGE_bay,PGE_bay,8,0.0
296,PGE_bay,PGE_bay,9,0.0
297,PGE_bay,PGE_bay,10,0.0
298,PGE_bay,PGE_bay,11,0.0
299,PGE_bay,PGE_bay,12,0.0
300,PGE_bay,PGE_bay,13,0.0
301,PGE_bay,PGE_bay,14,0.0
302,PGE_bay,PGE_bay,15,0.0
303,PGE_bay,PGE_bay,16,0.0
304,PGE_bay,PGE_bay,17,0.0
305,PGE_bay,PGE_bay,18,0.0
306,PGE_bay,PGE_bay,19,0.0
307,PGE_bay,PGE_bay,20,0.0
308,PGE_bay,PGE_bay,21,0.0
309,PGE_bay,PGE_bay,22,0.0
310,PGE_bay,PGE_bay,23,0.0
311,PGE_bay,PGE_bay,24,0.0
312,PGE_bay,PGE_valley,1,0.0
313,PGE_bay,PGE_valley,2,0.0
314,PGE_bay,PGE_valley,3,0.0
315,PGE_bay,PGE_valley,4,0.0
316,PGE_bay,PGE_valley,5,0.0
317,PGE_bay,PGE_valley,6,0.0
318,PGE_bay,PGE_valley,7,0.0
319,PGE_bay,PGE_valley,8,0.0
320,PGE_bay,PGE_valley,9,0.0
321,PGE_bay,PGE_valley,10,0.0
322,PGE_bay,PGE_valley,11,0.0
323,PGE_bay,PGE_valley,12,0.0
324,PGE_bay,PGE_valley,13,0.0
325,PGE_bay,PGE_valley,14,0.0
326,PGE_bay,PGE_valley,15,0.0
327,PGE_bay,PGE_valley,16,0.0
328,PGE_bay,PGE_valley,17,0.0
329,PGE_bay,PGE_valley,18,0.0
330,PGE_bay,PGE_valley,19,0.0
331,PGE_bay,PGE_valley,20,0.0
332,PGE_bay,PGE_valley,21,0.0
333,PGE_bay,PGE_valley,22,0.0
334,PGE_bay,PGE_valley,23,0.0
335,PGE_bay,PGE_valley,24,0.0
336,PGE_bay,PNW,1,0.0
337,PGE_bay,PNW,2,0.0
338,PGE_bay,PNW,3,0.0
339,PGE_bay,PNW,4,0.0
340,PGE_bay,PNW,5,0.0
341,PGE_bay,PNW,6,0.0
342,PGE_bay,PNW,7,0.0
343,PGE_bay,PNW,8,0.0
344,PGE_bay,PNW,9,0.0
345,PGE_bay,PNW,10,0.0
346,PGE_bay,PNW,11,0.0
347,PGE_bay,PNW,12,0.0
348,PGE_bay,PNW,13,0.0
349,PGE_bay,PNW,14,0.0
350,PGE_bay,PNW,15,0.0
351,PGE_bay,PNW,16,0.0
352,PGE_bay,PNW,17,0.0
353,PGE_bay,PNW,18,0.0
354,PGE_bay,PNW,19,0.0
355,PGE_bay,PNW,20,0.0
356,PGE_bay,PNW,21,0.0
357,PGE_bay,PNW,22,0.0
358,PGE_bay,PNW,23,0.0
359,PGE_bay,PNW,24,0.0
360,PGE_valley,SCE,1,1639.084651348088
361,PGE_valley,SCE,2,954.0678053877915
362,PGE_valley,SCE,3,645.4721363277114
363,PGE_valley,SCE,4,173.9055014328072
364,PGE_valley,SCE,5,222.38422405778655
365,PGE_valley,SCE,6,92.33257140077316
366,PGE_valley,SCE,7,291.35197718080457
367,PGE_valley,SCE,8,0.0
368,PGE_valley,SCE,9,0.0
369,PGE_valley,SCE,10,0.0
370,PGE_valley,SCE,11,0.0
371,PGE_valley,SCE,12,0.0
372,PGE_valley,SCE,13,0.0
373,PGE_valley,SCE,14,0.0
374,PGE_valley,SCE,15,0.0
375,PGE_valley,SCE,16,0.0
376,PGE_valley,SCE,17,109.59452302383625
377,PGE_valley,SCE,18,697.5765810041863
378,PGE_valley,SCE,19,1510.3348798784227
379,PGE_valley,SCE,20,1654.5571579078942
380,PGE_valley,SCE,21,1704.5412959830537
381,PGE_valley,SCE,22,2120.930765198873
382,PGE_valley,SCE,23,2193.127357515009
383,PGE_valley,SCE,24,1708.2639388107614
384,PGE_valley,SDGE,1,0.0
385,PGE_valley,SDGE,2,0.0
386,PGE_valley,SDGE,3,0.0
387,PGE_valley,SDGE,4,0.0
388,PGE_valley,SDGE,5,0.0
389,PGE_valley,SDGE,6,0.0
390,PGE_valley,SDGE,7,0.0
391,PGE_valley,SDGE,8,0.0
392,PGE_valley,SDGE,9,0.0
393,PGE_valley,SDGE,10,0.0
394,PGE_valley,SDGE,11,0.0
395,PGE_valley,SDGE,12,0.0
396,PGE_valley,SDGE,13,0.0
397,PGE_valley,SDGE,14,0.0
398,PGE_valley,SDGE,15,0.0
399,PGE_valley,SDGE,16,0.0
400,PGE_valley,SDGE,17,0.0
401,PGE_valley,SDGE,18,0.0
402,PGE_valley,SDGE,19,0.0
403,PGE_valley,SDGE,20,0.0
404,PGE_valley,SDGE,21,0.0
405,PGE_valley,SDGE,22,0.0
406,PGE_valley,SDGE,23,0.0
407,PGE_valley,SDGE,24,0.0
408,PGE_valley,PGE_bay,1,3812.6001545713552
409,PGE_valley,PGE_bay,2,3724.0702452335054
410,PGE_valley,PGE_bay,3,3567.92050427735
411,PGE_valley,PGE_bay,4,3490.640873805608
412,PGE_valley,PGE_bay,5,3500.508978399488
413,PGE_valley,PGE_bay,6,3505.335915046883
414,PGE_valley,PGE_bay,7,3558.599428199459
415,PGE_valley,PGE_bay,8,3865.25020641594
416,PGE_valley,PGE_bay,9,4024.245439652107
417,PGE_valley,PGE_bay,10,4131.029312323981
418,PGE_valley,PGE_bay,11,4152.905795914647
419,PGE_valley,PGE_bay,12,4073.2637993419185
420,PGE_valley,PGE_bay,13,4025.898625603142
421,PGE_valley,PGE_bay,14,3908.8407284427803
422,PGE_valley,PGE_bay,15,3971.1172450983186
423,PGE_valley,PGE_bay,16,3968.843011893254
424,PGE_valley,PGE_bay,17,3981.976214795747
425,PGE_valley,PGE_bay,18,4157.163599695158
426,PGE_valley,PGE_bay,19,4352.5340331752905
427,PGE_valley,PGE_bay,20,4338.934018949428
428,PGE_valley,PGE_bay,21,4309.424660094433
429,PGE_valley,PGE_bay,22,4105.581100820979
430,PGE_valley,PGE_bay,23,4154.380896812568
431,PGE_valley,PGE_bay,24,3908.889530911271
432,PGE_valley,PGE_valley,1,0.0
433,PGE_valley,PGE_valley,2,0.0
434,PGE_valley,PGE_valley,3,0.0
435,PGE_valley,PGE_valley,4,0.0
436,PGE_valley,PGE_valley,5,0.0
437,PGE_valley,PGE_valley,6,0.0
438,PGE_valley,PGE_valley,7,0.0
439,PGE_valley,PGE_valley,8,0.0
440,PGE_valley,PGE_valley,9,0.0
441,PGE_valley,PGE_valley,10,0.0
442,PGE_valley,PGE_valley,11,0.0
443,PGE_valley,PGE_valley,12,0.0
444,PGE_valley,PGE_valley,13,0.0
445,PGE_valley,PGE_valley,14,0.0
446,PGE_valley,PGE_valley,15,0.0
447,PGE_valley,PGE_valley,16,0.0
448,PGE_valley,PGE_valley,17,0.0
449,PGE_valley,PGE_valley,18,0.0
450,PGE_valley,PGE_valley,19,0.0
451,PGE_valley,PGE_valley,20,0.0
452,PGE_valley,PGE_valley,21,0.0
453,PGE_valley,PGE_valley,22,0.0
454,PGE_valley,PGE_valley,23,0.0
455,PGE_valley,PGE_valley,24,0.0
456,PGE_valley,PNW,1,0.0
457,PGE_valley,PNW,2,0.0
458,PGE_valley,PNW,3,0.0
459,PGE_valley,PNW,4,0.0
460,PGE_valley,PNW,5,0.0
461,PGE_valley,PNW,6,0.0
462,PGE_valley,PNW,7,0.0
463,PGE_valley,PNW,8,0.0
464,PGE_valley,PNW,9,0.0
465,PGE_valley,PNW,10,0.0
466,PGE_valley,PNW,11,0.0
467,PGE_valley,PNW,12,0.0
468,PGE_valley,PNW,13,0.0
469,PGE_valley,PNW,14,0.0
470,PGE_valley,PNW,15,0.0
471,PGE_valley,PNW,16,0.0
472,PGE_valley,PNW,17,0.0
473,PGE_valley,PNW,18,0.0
474,PGE_valley,PNW,19,0.0
475,PGE_valley,PNW,20,0.0
476,PGE_valley,PNW,21,0.0
477,PGE_valley,PNW,22,0.0
478,PGE_valley,PNW,23,0.0
479,PGE_valley,PNW,24,0.0
480,PNW,SCE,1,0.0
481,PNW,SCE,2,0.0
482,PNW,SCE,3,0.0
483,PNW,SCE,4,0.0
484,PNW,SCE,5,0.0
485,PNW,SCE,6,0.0
486,PNW,SCE,7,0.0
487,PNW,SCE,8,0.0
488,PNW,SCE,9,0.0
489,PNW,SCE,10,0.0
490,PNW,SCE,11,0.0
491,PNW,SCE,12,0.0
492,PNW,SCE,13,0.0
493,PNW,SCE,14,0.0
494,PNW,SCE,15,0.0
495,PNW,SCE,16,0.0
496,PNW,SCE,17,0.0
497,PNW,SCE,18,0.0
498,PNW,SCE,19,0.0
499,PNW,SCE,20,0.0
500,PNW,SCE,21,0.0
501,PNW,SCE,22,0.0
502,PNW,SCE,23,0.0
503,PNW,SCE,24,0.0
504,PNW,SDGE,1,0.0
505,PNW,SDGE,2,0.0
506,PNW,SDGE,3,0.0
507,PNW,SDGE,4,0.0
508,PNW,SDGE,5,0.0
509,PNW,SDGE,6,0.0
510,PNW,SDGE,7,0.0
511,PNW,SDGE,8,0.0
512,PNW,SDGE,9,0.0
513,PNW,SDGE,10,0.0
