,Zone,Time,Value
0,SCE,1,0.0
1,SCE,2,0.0
2,SCE,3,0.0
3,SCE,4,0.0
4,SCE,5,0.0
5,SCE,6,0.0
6,SCE,7,0.0
7,SCE,8,566.1247110834141
8,SCE,9,2377.6150209958564
9,SCE,10,3613.191719921425
10,SCE,11,3874.2290506803483
11,SCE,12,3817.1271345768337
12,SCE,13,3825.28455116305
13,SCE,14,3691.502919149102
14,SCE,15,2874.129777210224
15,SCE,16,1370.9898142567597
16,SCE,17,195.7779980691922
17,SCE,18,0.0
18,SCE,19,0.0
19,SCE,20,0.0
20,SCE,21,0.0
21,SCE,22,0.0
22,SCE,23,0.0
23,SCE,24,0.0
24,SDGE,1,0.0
25,SDGE,2,0.0
26,SDGE,3,0.0
27,SDGE,4,0.0
28,SDGE,5,0.0
29,SDGE,6,0.0
30,SDGE,7,0.0
31,SDGE,8,132.0614553309128
32,SDGE,9,554.6327403523062
33,SDGE,10,842.8590866653069
34,SDGE,11,903.751976731434
35,SDGE,12,890.4316570294686
36,SDGE,13,892.3345598440352
37,SDGE,14,861.1269536851452
38,SDGE,15,670.4560916655851
39,SDGE,16,319.8145330348041
40,SDGE,17,45.6696675495952
41,SDGE,18,0.0
42,SDGE,19,0.0
43,SDGE,20,0.0
44,SDGE,21,0.0
45,SDGE,22,0.0
46,SDGE,23,0.0
47,SDGE,24,0.0
48,PGE_bay,1,0.0
49,PGE_bay,2,0.0
50,PGE_bay,3,0.0
51,PGE_bay,4,0.0
52,PGE_bay,5,0.0
53,PGE_bay,6,0.0
54,PGE_bay,7,0.0
55,PGE_bay,8,2.779157672591306
56,PGE_bay,9,11.67192828488875
57,PGE_bay,10,17.737486625068815
58,PGE_bay,11,19.018942612430802
59,PGE_bay,12,18.738624115195364
60,PGE_bay,13,18.778669614800428
61,PGE_bay,14,18.121923421277412
62,PGE_bay,15,14.109364360850192
63,PGE_bay,16,6.730313633624093
64,PGE_bay,17,0.9610919905214887
65,PGE_bay,18,0.0
66,PGE_bay,19,0.0
67,PGE_bay,20,0.0
68,PGE_bay,21,0.0
69,PGE_bay,22,0.0
70,PGE_bay,23,0.0
71,PGE_bay,24,0.0
72,PGE_valley,1,0.0
73,PGE_valley,2,0.0
74,PGE_valley,3,0.0
75,PGE_valley,4,0.0
76,PGE_valley,5,0.0
77,PGE_valley,6,0.0
78,PGE_valley,7,0.0
79,PGE_valley,8,269.7841577726597
80,PGE_valley,9,1133.0416309145708
81,PGE_valley,10,1721.8500905298279
82,PGE_valley,11,1846.2462439696712
83,PGE_valley,12,1819.0345854047055
84,PGE_valley,13,1822.9219651997005
85,PGE_valley,14,1759.168936561781
86,PGE_valley,15,1369.653481103272
87,PGE_valley,16,653.3389642121758
88,PGE_valley,17,93.29711507988232
89,PGE_valley,18,0.0
90,PGE_valley,19,0.0
91,PGE_valley,20,0.0
92,PGE_valley,21,0.0
93,PGE_valley,22,0.0
94,PGE_valley,23,0.0
95,PGE_valley,24,0.0
